,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
131,The Secret History of the Pink Carnation,Lauren Willig,21962,2261,3.68,428,2006,True,"['Historical Historical Fiction', 'Romance', 'Mystery', 'Fiction', 'Historical', 'Romance Historical Romance', 'Womens Fiction Chick Lit', 'Adult', 'European Literature British Literature', 'Historical Regency']",0,United Kingdom,https://www.goodreads.com//book/show/84351.The_Secret_History_of_the_Pink_Carnation
132,Lady Midnight,Cassandra Clare,185228,18688,4.37,668,2016,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy', 'Fiction', 'Fantasy Magic', 'Paranormal Angels', 'Paranormal Vampires']",1,United States,https://www.goodreads.com//book/show/25494343-lady-midnight
133,The Terror,Dan Simmons,47950,4831,4.03,769,2007,False,"['Horror', 'Historical Historical Fiction', 'Fiction', 'Fantasy', 'Historical', 'Thriller', 'Adventure', 'Mystery', 'Audiobook', 'Adventure Survival']",4,Canada,https://www.goodreads.com//book/show/3974.The_Terror
134,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,235581,24234,4.09,230,2007,False,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Humor', 'Young Adult Coming Of Age', 'Young Adult Teen', 'Academic School', 'Audiobook', 'Literature Banned Books']",16,United States,https://www.goodreads.com//book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian
135,Taking Chances,Molly McAdams,45318,5452,3.85,432,2012,True,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Academic College', 'Romance Contemporary Romance', 'Womens Fiction Chick Lit', 'Fiction', 'Drama', 'Love']",0,,https://www.goodreads.com//book/show/15739018-taking-chances
136,The Song of Achilles,Madeline Miller,315145,38826,4.39,352,2011,False,"['Historical Historical Fiction', 'Fantasy', 'Fiction', 'Fantasy Mythology', 'LGBT', 'Romance', 'Historical', 'Retellings', 'GLBT Queer', 'Audiobook']",4,Greece,https://www.goodreads.com//book/show/11250317-the-song-of-achilles
137,The Soldier's Wife,Margaret Leroy,14278,1527,3.89,404,2011,False,"['Historical Historical Fiction', 'Fiction', 'War World War II', 'Romance', 'Historical', 'War', 'Adult Fiction', 'Womens Fiction Chick Lit', 'European Literature British Literature', 'Romance Historical Romance']",1,,https://www.goodreads.com//book/show/10518423-the-soldier-s-wife
138,Red Storm Rising,Tom Clancy,71064,1134,4.18,0,1988,False,"['Fiction', 'Thriller', 'War Military Fiction', 'War', 'Action', 'Spy Thriller Espionage', 'Suspense', 'Adventure', 'Mystery', 'Historical Historical Fiction']",0,,https://www.goodreads.com//book/show/318525.Red_Storm_Rising
139,Archer's Voice,Mia Sheridan,87943,10270,4.38,345,2016,False,"['Romance', 'New Adult', 'Contemporary', 'Romance Contemporary Romance', 'Adult', 'Disability', 'Fiction', 'Sociology Abuse', 'Drama', 'Adult Fiction Erotica']",1,United States,https://www.goodreads.com//book/show/32822135-archer-s-voice
140,Swan Song,Robert R. McCammon,57136,3737,4.28,956,1987,False,"['Horror', 'Fiction', 'Apocalyptic Post Apocalyptic', 'Fantasy', 'Science Fiction', 'Science Fiction Dystopia', 'Science Fiction Apocalyptic', 'Thriller', 'Audiobook', 'Science Fiction Fantasy']",3,United States,https://www.goodreads.com//book/show/11557.Swan_Song
