,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
0,Burned,Ellen Hopkins,58384,3828.0,4.25,431,2006,True,"['Young Adult', 'Poetry', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Sociology Abuse', 'Young Adult Teen', 'Religion', 'Young Adult High School']",0,United States,https://www.goodreads.com//book/show/270807.Burned
1,Kafka on the Shore,Haruki Murakami,330576,23431.0,4.13,467,2006,False,"['Fiction', 'Magical Realism', 'Fantasy', 'Cultural Japan', 'Asian Literature Japanese Literature', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Cultural Asia']",9,Japan,https://www.goodreads.com//book/show/4929.Kafka_on_the_Shore
2,Night Pleasures,Sherrilyn Kenyon,74029,2859.0,4.2,309,2009,True,"['Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Adult', 'Fantasy Mythology', 'Fiction', 'Fantasy Supernatural']",3,United States,https://www.goodreads.com//book/show/6944032-night-pleasures
3,Survivor,Chuck Palahniuk,111185,3688.0,3.91,304,2018,False,"['Fiction', 'Contemporary', 'Thriller', 'Novels', 'Humor', 'Dark', 'Literature', 'Literature American', 'Adult', 'Audiobook']",1,,https://www.goodreads.com//book/show/36236123-survivor
4,The Crown Conspiracy,Michael J. Sullivan,19759,1055.0,4.19,296,2008,True,"['Fantasy', 'Fiction', 'Fantasy Epic Fantasy', 'Fantasy High Fantasy', 'Adventure', 'Fantasy Magic', 'Audiobook', 'Adult', 'Science Fiction Fantasy', 'Young Adult']",0,,https://www.goodreads.com//book/show/4345290-the-crown-conspiracy
5,Dorothy Must Die,Danielle  Paige,71729,10105.0,3.81,452,2014,True,"['Fantasy', 'Young Adult', 'Retellings', 'Fiction', 'Fantasy Magic', 'Fantasy Fairy Tales', 'Adventure', 'Young Adult Young Adult Fantasy', 'Audiobook', 'Young Adult Teen']",1,,https://www.goodreads.com//book/show/18053060-dorothy-must-die
6,Forsaken,Jana Oliver,18123,1504.0,3.99,422,2011,True,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Paranormal Demons', 'Fantasy Urban Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Supernatural', 'Fantasy Magic', 'Romance Paranormal Romance']",0,United States,https://www.goodreads.com//book/show/8534899-forsaken
7,The Foundation Trilogy,Isaac Asimov,91751,1607.0,4.41,679,1974,True,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Space Opera', 'Literature', 'Novels', 'Speculative Fiction', 'Space']",1,,https://www.goodreads.com//book/show/46654.The_Foundation_Trilogy
8,The Beach House,James Patterson,80795,2038.0,3.85,356,2003,False,"['Mystery', 'Fiction', 'Thriller', 'Mystery Crime', 'Suspense', 'Thriller Mystery Thriller', 'Mystery Murder Mystery', 'Adult', 'Adult Fiction', 'Audiobook']",0,,https://www.goodreads.com//book/show/7510.The_Beach_House
9,Cutting for Stone,Abraham   Verghese,345392,25914.0,4.29,541,2009,False,"['Fiction', 'Historical Historical Fiction', 'Cultural Africa', 'Book Club', 'Health Medicine', 'Eastern Africa Ethiopia', 'Medical', 'Novels', 'Literary Fiction', 'Contemporary']",8,Ethiopia,https://www.goodreads.com//book/show/3591262-cutting-for-stone
10,Evertaster,Adam Glendon Sidwell,504,132.0,3.89,304,2012,True,"['Fantasy', 'Young Adult', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Childrens Juvenile', 'Fiction', 'Childrens Chapter Books', 'Food and Drink Food']",0,,https://www.goodreads.com//book/show/13633002-evertaster
11,Slave to Sensation,Nalini Singh,65725,4141.0,4.08,334,2006,True,"['Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy', 'Fantasy Urban Fantasy', 'Paranormal Shapeshifters', 'Adult', 'Science Fiction', 'Fiction', 'Fantasy Supernatural']",0,United States,https://www.goodreads.com//book/show/178476.Slave_to_Sensation
12,Days of Blood & Starlight,Laini Taylor,148587,13824.0,4.14,517,2012,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Paranormal Angels', 'Fantasy Urban Fantasy', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Audiobook']",1,Morocco,https://www.goodreads.com//book/show/12812550-days-of-blood-starlight
13,Jewels of the Sun,Nora Roberts,60571,1352.0,4.22,347,1999,True,"['Romance', 'Romance Contemporary Romance', 'Fiction', 'Fantasy', 'Contemporary', 'Fantasy Paranormal', 'Cultural Ireland', 'Romance Paranormal Romance', 'Womens Fiction Chick Lit', 'Adult']",0,Ireland,https://www.goodreads.com//book/show/59810.Jewels_of_the_Sun
14,The Forever War,Joe Haldeman,145516,6098.0,4.14,278,2003,True,"['Science Fiction', 'Fiction', 'War', 'War Military Fiction', 'Science Fiction Fantasy', 'Space Space Opera', 'Classics', 'Science Fiction Time Travel', 'Space', 'Speculative Fiction']",4,,https://www.goodreads.com//book/show/21611.The_Forever_War
15,River God,Wilbur Smith,35205,1541.0,4.19,664,1995,True,"['Historical Historical Fiction', 'Fiction', 'Historical', 'Northern Africa Egypt', 'Fantasy', 'Adventure', 'Cultural Africa', 'Thriller', 'Romance', 'Mystery']",0,,https://www.goodreads.com//book/show/429138.River_God
16,In the Woods,Tana French,328190,22818.0,3.77,429,2007,True,"['Mystery', 'Fiction', 'Thriller', 'Mystery Crime', 'Thriller Mystery Thriller', 'Cultural Ireland', 'Suspense', 'Adult', 'Audiobook', 'Contemporary']",4,Ireland,https://www.goodreads.com//book/show/237209.In_the_Woods
17,Possession of My Heart,Kia Carrington-Russell,2798,25.0,3.47,258,2014,True,[],0,,https://www.goodreads.com//book/show/23291161-possession-of-my-heart
18,The Moon Is a Harsh Mistress,Robert A. Heinlein,119882,3982.0,4.15,288,2005,False,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook', 'Politics', 'Novels', 'Space', 'Speculative Fiction']",3,,https://www.goodreads.com//book/show/16690.The_Moon_Is_a_Harsh_Mistress
19,Deity,Jennifer L. Armentrout,56005,3605.0,4.35,330,2012,True,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Fantasy Mythology', 'Romance', 'Romance Paranormal Romance', 'Mythology Greek Mythology', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fantasy Magic']",0,,https://www.goodreads.com//book/show/9761778-deity
20,The Exiled Queen,Cinda Williams Chima,46284,2691.0,4.33,586,2010,True,"['Fantasy', 'Young Adult', 'Fantasy Magic', 'Romance', 'Fantasy High Fantasy', 'Young Adult Young Adult Fantasy', 'Fiction', 'Adventure', 'Fantasy Epic Fantasy', 'Young Adult Teen']",1,,https://www.goodreads.com//book/show/7801229-the-exiled-queen
21,Savvy,Ingrid Law,45561,3992.0,3.98,342,2008,True,"['Fantasy', 'Childrens Middle Grade', 'Young Adult', 'Fiction', 'Childrens', 'Adventure', 'Fantasy Magic', 'Childrens Juvenile', 'Family', 'Young Adult Coming Of Age']",9,,https://www.goodreads.com//book/show/2133795.Savvy
22,First Grave on the Right,Darynda Jones,78792,7895.0,4.02,310,2011,True,"['Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy', 'Romance', 'Mystery', 'Romance Paranormal Romance', 'Paranormal Ghosts', 'Adult', 'Fiction', 'Fantasy Supernatural']",3,United States,https://www.goodreads.com//book/show/8788554-first-grave-on-the-right
23,Nine Princes in Amber,Roger Zelazny,55197,1993.0,4.05,175,1986,True,"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'Adventure', 'Young Adult', 'Childrens', 'Classics', 'Fantasy Epic Fantasy', 'Fantasy High Fantasy']",1,,https://www.goodreads.com//book/show/92121.Nine_Princes_in_Amber
24,Kindred,Octavia E. Butler,116119,13194.0,4.27,287,2004,False,"['Historical Historical Fiction', 'Fiction', 'Science Fiction', 'Fantasy', 'Science Fiction Time Travel', 'Historical', 'Classics', 'Cultural African American', 'Science Fiction Fantasy', 'Race']",1,United States,https://www.goodreads.com//book/show/60931.Kindred
